country,improvement,region,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018
Cambodia,-12.77,Asia & Pacific,0.293,0.26,0.233,0.218,0.20800000000000002,0.2,0.192,0.188,0.187,0.188,0.188,0.187,0.18600000000000003,0.184,0.183,0.17800000000000002,0.172,0.16399999999999998
Paraguay,-12.3,South/Latin America,0.129,0.122,0.115,0.11,0.11199999999999999,0.11900000000000001,0.124,0.126,0.128,0.127,0.122,0.11900000000000001,0.12,0.121,0.11699999999999999,0.11199999999999999,0.109,0.107
Maldives,-11.97,Asia & Pacific,0.14,0.146,0.155,0.166,0.17600000000000002,0.182,0.18100000000000002,0.17,0.152,0.132,0.11699999999999999,0.11,0.11,0.111,0.111,0.10800000000000001,0.105,0.10300000000000001
United Republic of Tanzania,-11.27,Africa,0.365,0.369,0.368,0.368,0.35700000000000004,0.344,0.33399999999999996,0.332,0.341,0.345,0.34600000000000003,0.336,0.32899999999999996,0.324,0.319,0.315,0.309,0.307
Eswatini,-11.21,Africa,0.192,0.174,0.16,0.153,0.155,0.17,0.191,0.212,0.226,0.233,0.23199999999999998,0.22699999999999998,0.22699999999999998,0.22699999999999998,0.23,0.22399999999999998,0.217,0.20600000000000002
Tunisia,-10.42,Arab States,0.049,0.052000000000000005,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055,0.054000000000000006,0.052000000000000005,0.05,0.048,0.046,0.045,0.045,0.044000000000000004,0.044000000000000004,0.043,0.043
Jamaica,-9.09,South/Latin America,0.07400000000000001,0.068,0.066,0.066,0.068,0.07,0.073,0.077,0.08199999999999999,0.086,0.08800000000000001,0.09,0.092,0.09300000000000001,0.092,0.08800000000000001,0.084,0.08
Mali,-8.7,Africa,0.146,0.14,0.135,0.129,0.122,0.111,0.098,0.086,0.077,0.07200000000000001,0.069,0.067,0.064,0.059000000000000004,0.055999999999999994,0.057,0.06,0.063
New Caledonia,-7.79,Asia & Pacific,0.076,0.075,0.076,0.078,0.08,0.08199999999999999,0.08199999999999999,0.08199999999999999,0.081,0.08,0.077,0.075,0.073,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.071
Costa Rica,-7.69,South/Latin America,0.051,0.053,0.057,0.059000000000000004,0.057999999999999996,0.054000000000000006,0.051,0.05,0.051,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.054000000000000006,0.055,0.054000000000000006,0.051,0.047,0.048
Botswana,-7.37,Africa,0.35700000000000004,0.35,0.34700000000000003,0.335,0.324,0.319,0.322,0.324,0.318,0.305,0.285,0.265,0.251,0.249,0.253,0.261,0.264,0.264
Zambia,-6.6,Africa,0.474,0.49,0.5,0.499,0.502,0.511,0.526,0.535,0.53,0.515,0.5,0.488,0.47700000000000004,0.462,0.45,0.44799999999999995,0.456,0.467
Chad,-6.25,Africa,0.401,0.39799999999999996,0.397,0.391,0.391,0.392,0.39799999999999996,0.40299999999999997,0.40700000000000003,0.408,0.4,0.389,0.376,0.369,0.365,0.365,0.368,0.375
Guinea,-6.25,Africa,0.263,0.255,0.247,0.23800000000000002,0.225,0.213,0.20199999999999999,0.193,0.185,0.18,0.17600000000000002,0.172,0.165,0.157,0.149,0.14800000000000002,0.155,0.165
Burkina Faso,-5.66,Africa,0.254,0.256,0.258,0.256,0.253,0.249,0.242,0.23600000000000002,0.22699999999999998,0.21899999999999997,0.212,0.207,0.203,0.201,0.2,0.2,0.2,0.2
Sierra Leone,-5.19,Africa,0.396,0.40299999999999997,0.4,0.396,0.38799999999999996,0.37,0.34600000000000003,0.322,0.304,0.287,0.27,0.252,0.237,0.226,0.22,0.23,0.244,0.256
Guatemala,-3.8,South/Latin America,0.205,0.18100000000000002,0.16399999999999998,0.158,0.158,0.158,0.158,0.157,0.159,0.157,0.158,0.158,0.163,0.163,0.16,0.153,0.15,0.152
Pakistan,-3.79,Asia & Pacific,0.23399999999999999,0.248,0.258,0.255,0.245,0.233,0.22399999999999998,0.217,0.213,0.21100000000000002,0.21100000000000002,0.21100000000000002,0.21,0.21,0.21,0.20800000000000002,0.20600000000000002,0.203
Serbia,-3.39,Europe,NA,NA,NA,NA,NA,NA,0.06,0.06,0.06,0.059000000000000004,0.059000000000000004,0.06,0.061,0.06,0.06,0.059000000000000004,0.057,0.057
Gabon,-2.78,Africa,0.105,0.10800000000000001,0.113,0.114,0.11199999999999999,0.109,0.11,0.11199999999999999,0.115,0.113,0.10800000000000001,0.1,0.094,0.087,0.085,0.08900000000000001,0.098,0.105
Mozambique,-2.11,Africa,0.41100000000000003,0.40399999999999997,0.392,0.382,0.375,0.37,0.358,0.345,0.325,0.307,0.285,0.272,0.265,0.266,0.268,0.272,0.275,0.27899999999999997
Congo,-0.49,Africa,0.368,0.34,0.32799999999999996,0.342,0.36700000000000005,0.402,0.41600000000000004,0.42200000000000004,0.418,0.413,0.405,0.395,0.392,0.387,0.382,0.377,0.385,0.40299999999999997
Haiti,-0.4,South/Latin America,0.5489999999999999,0.56,0.569,0.5760000000000001,0.5760000000000001,0.5710000000000001,0.5589999999999999,0.545,0.525,0.508,0.495,0.495,0.496,0.496,0.493,0.489,0.49,0.493
Egypt,0,Middle east,0.052000000000000005,0.051,0.052000000000000005,0.053,0.055,0.054000000000000006,0.051,0.048,0.046,0.045,0.045,0.045,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.045
French Polynesia,0,Asia & Pacific,0.046,0.043,0.04,0.039,0.039,0.039,0.04,0.04,0.040999999999999995,0.040999999999999995,0.042,0.042,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.042,0.042,0.042
Philippines,0,Asia & Pacific,0.204,0.19699999999999998,0.191,0.185,0.174,0.163,0.152,0.141,0.133,0.13,0.133,0.13699999999999998,0.141,0.142,0.14,0.136,0.135,0.133
Saudi Arabia,1.43,Middle east,0.061,0.064,0.07,0.076,0.079,0.079,0.077,0.077,0.077,0.076,0.07,0.064,0.057,0.054000000000000006,0.053,0.055999999999999994,0.062,0.071
Liberia,1.92,Africa,0.384,0.39799999999999996,0.406,0.40700000000000003,0.4,0.39399999999999996,0.39,0.382,0.373,0.365,0.365,0.36700000000000005,0.376,0.385,0.392,0.38799999999999996,0.381,0.37200000000000005
Georgia,2.6,Europe,0.135,0.136,0.114,0.092,0.079,0.07200000000000001,0.07,0.068,0.067,0.07,0.077,0.081,0.081,0.077,0.075,0.076,0.078,0.079
Lesotho,3.15,Africa,0.136,0.13,0.126,0.12300000000000001,0.11900000000000001,0.11699999999999999,0.11699999999999999,0.12,0.12300000000000001,0.125,0.127,0.131,0.132,0.131,0.131,0.132,0.134,0.131
Brunei Darussalam,3.23,Asia & Pacific,0.031,0.027999999999999997,NA,NA,NA,NA,NA,0.027000000000000003,0.03,0.031,0.031,0.028999999999999998,0.027999999999999997,0.027000000000000003,0.027999999999999997,0.03,0.031,0.032
Ghana,3.77,Africa,0.156,0.136,0.12,0.11,0.10099999999999999,0.09300000000000001,0.083,0.073,0.063,0.055999999999999994,0.053,0.055,0.059000000000000004,0.062,0.063,0.062,0.059000000000000004,0.055
Iraq,6.23,Middle east,0.28300000000000003,0.26899999999999996,0.266,0.271,0.27399999999999997,0.282,0.293,0.3,0.297,0.285,0.273,0.266,0.264,0.267,0.273,0.282,0.28800000000000003,0.29
Suriname,6.25,South/Latin America,0.13,0.129,0.124,0.121,0.11599999999999999,0.109,0.10300000000000001,0.09699999999999999,0.091,0.084,0.08,0.081,0.083,0.08199999999999999,0.081,0.081,0.083,0.085
Rwanda,8.24,Africa,0.555,0.49700000000000005,0.457,0.449,0.449,0.445,0.43200000000000005,0.41100000000000003,0.386,0.359,0.34,0.32899999999999996,0.325,0.32899999999999996,0.33899999999999997,0.35100000000000003,0.36,0.368
